ann_id,image_id,src_label_raw,defect_type,iso_code,polygon_json,bbox_x1_px,bbox_y1_px,bbox_x2_px,bbox_y2_px,area_px,major_axis_px,minor_axis_px,equiv_diameter_px,major_axis_mm,equiv_diameter_mm,geom_valid,geom_flags
aihub71761:data/raw/aihub71761/RT/AL/w00033_f3.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00033_f3.png,기공,porosity,2011,"[[1048.88,386.57],[1044.24,391.99],[1032.96,393.63],[1029.76,391.39],[1030.0,391.05],[1027.09,387.76],[1035.83,371.55],[1039.48,370.53],[1041.38,375.02],[1045.66,374.17],[1050.55,382.26]]",1027,370,1051,394,340.95,23.43,18.62,20.84,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00037_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00037_f0.png,융합불량,lack_of_fusion,401,"[[683.74,356.3],[664.52,373.15],[589.6,393.65],[588.44,380.61],[583.46,372.3],[572.84,353.9],[618.75,304.38],[630.89,299.96]]",572,299,684,394,5793.45,94.21,82.33,85.89,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00038_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00038_f0.png,기공,porosity,2011,"[[190.42,194.26],[179.53,210.04],[176.96,219.27],[165.91,222.76],[139.93,228.09],[116.72,214.35],[111.44,193.05],[130.13,159.48],[179.36,182.53]]",111,159,191,229,3465.27,70.12,58.81,66.42,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00041_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00041_f0.png,기공,porosity,2011,"[[402.42,112.66],[395.3,115.26],[386.72,139.64],[355.71,140.97],[339.25,133.14],[335.89,111.0],[328.04,109.81],[390.1,93.59],[398.73,104.73]]",328,93,403,141,2220.20,71.24,43.70,53.17,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00046_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00046_f0.png,기공,porosity,2011,"[[124.06,546.22],[115.94,556.98],[112.38,556.81],[112.95,559.67],[98.89,558.68],[94.01,543.35],[93.14,535.98],[92.7,533.51],[117.69,526.3],[123.86,541.59]]",92,526,125,560,753.54,30.75,29.17,30.97,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00050_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00050_f0.png,융합불량,lack_of_fusion,401,"[[677.53,114.65],[666.7,123.58],[633.35,110.46],[633.94,105.73],[635.57,99.96],[638.11,91.91],[646.29,90.95],[650.53,85.77],[667.76,86.35],[672.53,97.23]]",633,85,678,124,1144.65,45.01,35.03,38.18,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00050_f0.png#1,aihub71761:data/raw/aihub71761/RT/AL/w00050_f0.png,기공,porosity,2011,"[[529.8,236.51],[517.22,240.81],[495.03,211.91],[508.63,190.16],[511.31,184.56],[523.77,184.16],[547.17,209.18]]",495,184,548,241,1760.68,50.57,43.48,47.35,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00052_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00052_f0.png,기공,porosity,2011,"[[220.13,542.13],[215.4,551.26],[190.97,569.61],[183.59,563.32],[162.5,529.53],[169.95,514.98],[183.15,508.93],[212.39,519.98],[213.89,526.09]]",162,508,221,570,2173.24,57.47,47.38,52.60,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00053_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00053_f0.png,기공,porosity,2011,"[[522.63,183.66],[513.95,189.35],[505.95,186.51],[506.23,174.85],[506.56,171.51],[514.34,170.32],[519.28,171.46],[523.88,173.65],[523.0,177.62],[526.18,179.93]]",505,170,527,190,278.32,20.07,19.03,18.82,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00054_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00054_f0.png,균열,crack,100,"[[928.24,399.49],[907.84,398.64],[909.17,396.97],[908.58,381.24],[913.44,378.53],[922.78,379.67]]",907,378,929,400,327.28,20.42,20.33,20.41,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00055_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00055_f0.png,기공,porosity,2011,"[[608.51,650.99],[518.8,647.52],[523.91,609.42],[581.82,603.68],[593.51,616.52],[597.51,614.63]]",518,603,609,651,3352.59,89.78,46.24,65.33,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00056_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00056_f0.png,기공,porosity,2011,"[[1236.47,118.41],[1221.24,127.18],[1184.22,109.71],[1177.36,109.61],[1180.46,80.38],[1180.76,79.57],[1204.34,68.22],[1221.21,73.64]]",1177,68,1237,128,2284.42,61.26,53.11,53.93,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00061_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00061_f0.png,기공,porosity,2011,"[[757.28,112.11],[755.28,131.26],[733.63,142.98],[698.62,83.55],[709.93,78.27],[714.73,71.4],[732.86,74.93],[737.86,78.86],[740.71,86.69]]",698,71,758,143,2309.20,72.16,36.19,54.22,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00063_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00063_f0.png,기공,porosity,2011,"[[524.37,435.2],[514.57,451.41],[504.33,451.69],[498.15,449.76],[494.84,451.97],[491.04,447.53],[501.76,412.71],[514.11,415.18]]",491,412,525,452,869.60,40.83,28.23,33.27,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00065_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00065_f0.png,슬래그혼입,slag_inclusion,301,"[[578.98,269.89],[566.76,285.75],[571.54,290.9],[542.19,296.11],[510.1,303.07],[500.17,243.33],[504.17,229.61],[553.35,219.68],[553.44,232.67]]",500,219,579,304,4525.89,74.01,73.40,75.91,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00065_f1.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00065_f1.png,슬래그혼입,slag_inclusion,301,"[[938.33,559.01],[931.3,579.19],[927.0,577.85],[899.69,574.31],[896.76,570.58],[899.46,551.05],[900.9,542.94],[901.71,537.03]]",896,537,939,580,1090.66,39.64,37.13,37.26,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00065_f2.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00065_f2.png,슬래그혼입,slag_inclusion,301,"[[207.34,486.06],[197.01,499.06],[189.55,501.47],[160.81,480.38],[176.36,458.28],[201.47,460.79]]",160,458,208,502,1313.30,41.41,39.85,40.89,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00066_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00066_f0.png,슬래그혼입,slag_inclusion,301,"[[1059.94,487.78],[1031.76,453.67],[1053.22,415.29],[1052.3,410.55],[1078.37,392.25],[1120.27,416.78],[1133.51,427.2],[1134.33,435.13]]",1031,392,1135,488,5294.23,98.34,67.45,82.10,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00067_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00067_f0.png,기공,porosity,2011,"[[120.97,416.13],[123.23,419.7],[41.94,437.79],[32.69,422.7],[26.46,395.27],[105.88,369.35]]",26,369,124,438,4146.43,87.00,53.25,72.66,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00069_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00069_f0.png,기공,porosity,2011,"[[1013.78,712.82],[1012.08,712.6],[996.1,696.08],[995.61,689.23],[999.7,685.45],[1008.72,685.37],[1011.55,686.53],[1020.31,698.29]]",995,685,1021,713,413.27,29.59,17.74,22.94,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00070_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00070_f0.png,균열,crack,100,"[[305.87,657.17],[304.74,657.68],[304.56,658.28],[299.11,663.99],[298.59,662.42],[290.52,663.3],[281.84,648.8],[285.21,648.68],[286.1,647.37],[287.85,640.63],[306.08,649.28]]",281,640,307,664,342.82,25.30,19.34,20.89,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00072_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00072_f0.png,슬래그혼입,slag_inclusion,301,"[[276.92,156.64],[273.86,157.49],[258.74,164.69],[247.99,164.11],[231.8,157.59],[234.25,136.89],[231.25,136.0],[247.78,113.02],[253.45,110.18],[270.76,121.28]]",231,110,277,165,1786.16,54.61,44.61,47.69,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00074_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00074_f0.png,기공,porosity,2011,"[[444.87,228.22],[432.68,228.29],[417.59,220.96],[414.65,213.98],[406.68,189.55],[430.02,160.88],[474.71,165.32]]",406,160,475,229,2912.61,74.91,51.08,60.90,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00082_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00082_f0.png,슬래그혼입,slag_inclusion,301,"[[633.8,371.12],[596.74,407.81],[584.22,421.42],[578.91,409.22],[552.13,392.48],[557.34,362.72],[635.81,367.43]]",552,362,636,422,2692.18,76.58,60.35,58.55,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00083_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00083_f0.png,슬래그혼입,slag_inclusion,301,"[[1087.06,358.09],[1094.3,355.12],[1098.03,355.84],[1106.13,350.48],[1106.94,352.44],[1118.26,358.09],[1122.04,369.32],[1116.68,370.73],[1123.01,371.19]]",1087,350,1123,370,297.65,36.71,13.68,19.47,,,True,self_intersect;multipart_largest_kept
aihub71761:data/raw/aihub71761/RT/AL/w00086_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00086_f0.png,기공,porosity,2011,"[[675.73,712.38],[671.24,712.76],[660.16,701.85],[663.96,690.61],[666.18,692.19],[680.21,689.34]]",660,689,681,713,304.22,24.70,17.29,19.68,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00087_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00087_f0.png,기공,porosity,2011,"[[801.75,326.92],[780.2,322.85],[777.4,331.12],[740.87,268.64],[766.03,240.22],[780.47,231.67],[782.34,243.0],[806.0,251.23],[810.78,251.41]]",740,231,811,332,4182.23,92.97,69.05,72.97,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00088_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00088_f0.png,기공,porosity,2011,"[[1099.32,579.08],[1053.53,613.5],[1038.49,606.28],[1014.48,599.57],[1011.54,562.32],[1002.47,558.75],[1018.53,540.37],[1023.44,542.29],[1068.31,541.25],[1083.81,546.92]]",1002,540,1100,614,4786.59,85.32,81.07,78.07,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00088_f0.png#1,aihub71761:data/raw/aihub71761/RT/AL/w00088_f0.png,슬래그혼입,slag_inclusion,301,"[[953.48,97.18],[946.39,93.44],[927.09,103.76],[901.88,90.3],[896.72,94.11],[882.61,57.51],[879.98,47.31]]",879,47,954,104,1398.14,88.82,29.33,42.19,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00090_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00090_f0.png,기공,porosity,2011,"[[420.39,429.93],[418.87,427.42],[413.43,431.82],[413.38,401.11],[424.04,406.92],[428.09,413.07]]",413,401,429,432,287.81,30.71,14.69,19.14,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00091_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00091_f0.png,기공,porosity,2011,"[[488.58,357.87],[481.3,359.21],[457.22,350.16],[448.5,337.37],[436.61,318.99],[451.38,310.72],[484.36,289.67],[510.86,305.58],[522.86,319.32],[511.58,320.37],[519.48,320.44]]",436,289,523,360,3419.92,71.61,61.40,65.99,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00091_f0.png#1,aihub71761:data/raw/aihub71761/RT/AL/w00091_f0.png,슬래그혼입,slag_inclusion,301,"[[916.29,403.65],[917.85,407.16],[881.91,386.44],[903.68,384.24],[919.18,394.81],[918.57,400.53],[921.52,400.5]]",881,384,922,408,365.98,41.48,12.78,21.59,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00093_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00093_f0.png,슬래그혼입,slag_inclusion,301,"[[987.52,198.3],[971.13,212.27],[939.76,196.9],[928.07,184.03],[936.76,143.0],[970.64,121.87],[970.84,133.68],[1002.72,154.86],[1008.07,162.71]]",928,121,1009,213,4336.14,75.03,74.45,74.30,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00094_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00094_f0.png,기공,porosity,2011,"[[891.57,125.32],[889.88,126.57],[879.19,132.7],[875.22,126.04],[873.92,123.56],[873.31,121.15],[891.41,116.22],[891.77,118.57],[892.2,121.34]]",873,116,893,133,184.78,18.80,12.69,15.34,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00097_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00097_f0.png,기공,porosity,2011,"[[106.63,149.28],[62.43,178.03],[44.57,180.22],[38.4,177.33],[25.32,137.42],[91.26,112.54]]",25,112,107,181,3340.96,73.74,51.10,65.22,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00099_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00099_f0.png,슬래그혼입,slag_inclusion,301,"[[792.49,249.93],[794.31,261.07],[760.96,261.41],[750.71,225.07],[752.66,223.59],[786.83,214.72],[794.15,220.75]]",750,214,795,262,1611.43,46.74,43.13,45.30,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00099_f1.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00099_f1.png,슬래그혼입,slag_inclusion,301,"[[185.53,99.83],[181.32,92.37],[163.28,28.57],[161.88,19.59],[179.27,20.77],[209.57,26.82]]",161,19,210,100,1979.59,76.87,47.56,50.20,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00099_f2.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00099_f2.png,슬래그혼입,slag_inclusion,301,"[[1143.29,488.43],[1136.59,494.26],[1121.0,509.95],[1107.12,511.01],[1085.3,495.73],[1090.99,464.29],[1101.55,457.32],[1124.52,460.54],[1130.9,461.87]]",1085,457,1144,512,2220.25,55.76,52.76,53.17,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00099_f3.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00099_f3.png,슬래그혼입,slag_inclusion,301,"[[1075.53,507.25],[1075.07,510.64],[1071.71,512.46],[1068.26,513.75],[1062.46,505.72],[1063.92,505.12],[1068.27,500.8],[1068.88,501.72]]",1062,500,1076,514,93.21,11.96,9.70,10.89,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00101_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00101_f0.png,기공,porosity,2011,"[[827.98,381.87],[821.72,400.84],[797.97,400.57],[782.56,407.2],[784.6,397.82],[764.25,365.26],[772.25,337.72],[769.65,330.59],[792.9,320.61],[793.36,319.05],[800.48,321.94]]",764,319,828,408,3513.96,86.30,51.76,66.89,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00102_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00102_f0.png,기공,porosity,2011,"[[1270.98,319.41],[1243.11,337.52],[1238.34,340.5],[1225.29,329.12],[1223.32,284.29],[1250.07,285.59],[1255.7,284.55]]",1223,284,1271,341,1903.53,56.82,46.07,49.23,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00103_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00103_f0.png,기공,porosity,2011,"[[461.74,354.04],[457.98,358.67],[450.77,362.08],[446.81,363.8],[441.89,359.9],[439.49,363.36],[430.2,342.63],[431.34,338.87],[452.35,332.28],[452.01,334.42],[458.51,339.38]]",430,332,462,364,667.71,29.13,27.16,29.16,,,True,
